iter	Passed	Remaining
513	33516	33514	33517	3515	333518	35516	334	312
517	334	311
518	335	310
519	335	309
520	336	309
521	337	308
522	340	310
523	340	309
524	340	308
525	341	307
526	341	306
527	342	306
528	342	305
529	343	304
530	343	303
531	343	302
532	344	301
533	344	301
534	345	300
535	345	299
536	346	298
537	346	297
538	346	296
539	347	295
540	347	294
541	347	293
542	348	292
543	348	291
544	348	291
545	348	290
546	349	289
547	349	288
548	350	287
549	350	286
550	350	285
551	352	286
552	353	285
553	353	284
554	354	283
555	354	283
556	354	282
557	355	281
558	355	280
559	356	280
560	357	280
561	358	279
562	358	278
563	359	277
564	359	276
565	360	276
566	360	275
567	360	274
568	361	273
569	361	272
570	361	271
571	362	271
572	362	270
573	362	269
574	363	268
575	363	267
576	363	266
577	364	265
578	364	265
579	364	264
580	365	263
581	365	262
582	365	261
583	366	260
584	366	260
585	366	259
586	367	258
587	367	257
588	367	256
589	368	255
590	368	254
591	368	254
592	369	253
593	369	252
594	369	251
595	370	250
596	370	249
597	370	249
598	371	248
599	371	247
600	372	247
601	373	246
602	373	246
603	374	245
604	375	245
605	375	244
606	376	243
607	376	243
608	377	242
609	377	241
610	377	240
611	378	239
612	378	238
613	378	238
614	379	237
615	379	236
616	379	235
617	380	235
618	380	234
619	380	233
620	381	232
621	381	231
622	381	231
623	382	230
624	382	229
625	382	228
626	383	227
627	383	227
628	383	226
629	384	225
630	384	224
631	384	224
632	385	223
633	385	222
634	385	221
635	386	221
636	386	220
637	387	219
638	387	219
639	388	218
640	388	217
641	388	216
642	389	216
643	389	2156644	389	214645	392	215
646	394	215
647	395	214
648	395	214
649	396	213
650	396	212
651	397	212
652	397	211
653	397	210
654	398	209
655	398	208
656	398	208
657	399	207
658	400	207
659	400	206
660	401	205
661	402	205
662	402	204
663	403	204
664	404	203
665	405	203
666	405	202
667	406	201
668	406	201
669	407	200
670	407	199
671	407	198
672	408	198
673	408	197
674	408	196
675	408	196
676	409	195
677	409	194
678	409	193
679	410	193
680	410	192
681	410	191
682	411	190
683	411	190
684	412	189
685	412	188
686	412	188
687	413	187
688	413	186
689	413	185
690	414	185
691	414	184
692	414	183
693	415	183
694	415	182
695	415	181
696	416	180
697	416	180
698	416	179
699	417	178
700	418	178
701	418	177
702	418	176
703	419	176
704	419	175
705	419	174
706	420	174
707	420	173
708	421	172
709	421	172
710	422	171
711	422	171
712	423	170
713	423	169
714	424	169
715	424	168
716	425	167
717	425	167
718	426	166
719	426	165
720	427	165
721	427	164
722	428	163
723	428	163
724	428	162
725	429	161
726	429	161
7730	429	158
731	429	157
732	430	156
733	431	156
734	431	155
735	432	155
736	433	154
737	434	154
738	435	153
739	435	153
740	436	152
741	436	151
742	436	151
743	437	150
744	437	149
745	437	149
746	438	148
747	438	147
748	438	147
749	439	146
750	439	145
751	439	144
752	439	144
753	440	143
754	440	142
755	440	142
756	441	141
754	440	143
755	441	142
756	442	141
